filename,sobel_mean,sobel_edge_pixels,canny_edge_pixels
1.jpg,61.80329386393229,95226,8246
10.jpg,57.86827596028646,55812,8788
11.jpg,54.77873738606771,59366,8113
12.jpg,48.22559611002604,80602,6690
13.jpg,62.221048990885414,91744,6639
14.jpg,44.69878133138021,85322,4651
15.jpg,54.96391805013021,96236,5147
16.jpg,93.05897013346355,97984,16895
17.jpg,110.58082071940105,97944,18568
18.jpg,54.695658365885414,97487,7269
19.jpg,85.7603759765625,92494,12175
2.jpg,57.333028157552086,93669,6169
20.jpg,69.79530843098958,95985,8703
21.jpg,56.944234212239586,90204,7342
22.jpg,61.125931351273145,106909,9389
3.jpg,56.047281901041664,95942,6018
4.jpg,79.66800944010417,97183,11361
5.jpg,53.23558553059896,92010,6785
6.jpg,52.79883829752604,96867,5152
7.jpg,87.28865559895833,94629,12106
8.jpg,97.29588826497395,94353,12680
9.jpg,93.94552612304688,96017,13445
